Название,Автор,Цена,Описание,Издательство,Год издания,Штрих-код,Количество страниц,Переплет,Размер,Толщина,Вес,Картина
"Примерное комплексно-тематическое планир. к пр. ""От рождения до школы"". 4-5 л. Средняя группа. ФГОС",Неизвестно,"Данное методическое пособие содержит годовое примерное комплексно-тематическое планирование работы с детьми 4-5 лет по программе ""От рождения до школы"". Планирование построено на основе интеграции всех образовательных областей. Пособие подготовлено в соответствии с Федеральными государственными требованиями (ФГТ). В пособии наряду с планированием организованной образовательной деятельности представлены образовательная деятельность в ходе режимных моментов, работа с родителями. Пособие адресовано широкому кругу работников дошкольных образовательных учреждений.",3 100 тг,0,Мозаика-синтез,2016 г.,9785431506055,160,Мягкий,215 мм x 145 мм,420 г.,http://www.bookcity.kz/content/images/thumbs/5102459_1438970.jpeg
"Приобщение детей к художественной литературе. Программа и методические рекомендации. 2-е изд., испр.",Гербова В.В.,"В пособии содержатся программа и методические рекомендации по приобщению детей 2-7 лет к художественной литературе.  В книге представлен перечень произведений художественной литературы для чтения детям дошкольного возраста. Литературный материал подобран таким образом, чтобы обеспечить развитие художественно-творческих способностей дошкольников, их эстетического вкуса, культуры восприятия произведений.  Книга адресована широкому кругу работников дошкольного образования, а также студентам педагогических колледжей и вузов.",500 тг,0,Мозаика-синтез,2010 г.,9785867753429,80,Мягкий,240 мм x 170 мм,105 г.,http://www.bookcity.kz/content/images/thumbs/5040530_1362524.jpeg
Проектирование образовательной деятельности в детском саду,"Бережнова О.,Тимофеева Л.","Ваш малыш учится раскрашивать?
Тогда эта раскраска специально для него.
В ней малыш познакомится с цветами, узнает их особенности и раскрасит их.
Раскрашивание картинок развивает мышление, мелкую моторику рук и будет очень полезно для развития Вашего ребенка.",2 300 тг,0,Цветной мир,2013 г.,9785431001208,Мягкий,6 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5107129_1443449.jpeg
Проектирование образовательной области,Лыкова И.,"Книга раскрывает новые подходы к проектированию образовательной области ХУДОЖЕСТВЕННО-ЭСТЕТИЧЕСКОЕ РАЗВИТИЕ, связанные с введением ФГОС ДО. Поможет педагогам найти ответы на актуальные вопросы: каким образом эстетическое воспитание связано с формированием картины мира и какую роль при этом играет культура что такое индивидуальный образовательный маршрут и портфолио творческого развития ребенка зачем нужны свободные формы детской деятельности в чем значение художественно-продуктивной деятельности для обогащения жизненного опыта, адаптации ребенка к детскому саду и объективности мониторинга. Приведен пример проектирования темы ""От мяча к образу тела человека и олимпийской символике"" как образовательного маршрута в детском саду и начальной школе.   Книга рекомендуется воспитателям детских садов, педагогам дополнительного образования, специалистам системы повышения квалификации работников образования, студентам педагогических колледжей и вузов.",2 600 тг,0,Цветной мир,2014 г.,9785431001680,144,Мягкий,240 мм x 170 мм,205 г.,http://www.bookcity.kz/content/images/thumbs/5106766_1443090.jpeg
Проектная деятельность дошкольников. ФГОС,Неизвестно,"В книге описывается методика работы с детьми дошкольного возраста по организации проектной деятельности. Данная форма взаимодействия ребенка и взрослого позволяет развивать познавательные способности, личность дошкольника, а также взаимоотношения со сверстниками. Книга предназначена в первую очередь педагогам дошкольных учреждений, но будет, несомненно, полезна студентам, преподавателям психолого-педагогических специальностей, а также всем, кто интересуется возможностями активизации развития детей.",1 100 тг,0,Мозаика-синтез,2016 г.,9785431505058,64,Мягкий,240 мм x 170 мм,120 г.,http://www.bookcity.kz/content/images/thumbs/5102428_1438939.jpeg
Прощание с детским садом: сценарии выпускных утренников и развлечений для дошкольников,Власенко О.П.,"Прощание с детским садом - завершение этапа дошкольного образования, к которому каждый ребенок должен достигнуть необходимых результатов освоения образовательной программы в виде целевых ориентиров в соответствии с требованиями ФГОС ДО. Что придумать педагогам, чтобы дети ярко и содержательно ""раскрыли"" себя, проявили смекалку, творчество, продемонстрировали свои умения? Как превратить это волнующее событие в яркий запоминающийся праздник? Как показать родителям, чему научился каждый выпускник подготовительной к школе группы? Эти задачи помогут решить предлагаемые сценарии утренников, отчетных концертов и театрализованных представлений с участием выдуманных персонажей, разработки конкурсов, интеллектуальных игр, викторин, шоу-программ с участием детей и взрослых.",1 600 тг,0,Учитель,2016 г.,9785705748143,320,Мягкий,215 мм x 145 мм,220 г.,http://www.bookcity.kz/content/images/thumbs/5102269_1438780.jpeg
Развитие игровой деятельности (2-3 года). ФГОС,Неизвестно,"Настоящее пособие издано в рамках примерной основной общеобразовательной программы дошкольного образования ""От рождения до школы"" под редакцией Н.Е.Вераксы, Т.С.Комаровой, М.А.Васильевой. В пособии представлены примерные сценарии сюжетно-ролевых, театрализованных и дидактических игр, которые можно использовать в работе с детьми 2-3 лет. Книга адресована широкому кругу работников дошкольного образования, а также студентам педагогических колледжей и вузов. Соответствует Федеральному государственному образовательному стандарту.",1 500 тг,0,Мозаика-синтез,2016 г.,9785431504303,128,Мягкий,240 мм x 170 мм,217 г.,http://www.bookcity.kz/content/images/thumbs/5102421_1438932.jpeg
Развитие игровой деятельности (3-4 года). ФГОС,Неизвестно,"Настоящее пособие издано в рамках учебно-методического комплекта к примерной общеобразовательной программе дошкольного образования ""ОТ РОЖДЕНИЯ ДО ШКОЛЫ"" под редакцией Н.Е.Вераксы, Т.С.Комаровой, М.А.Васильевой. В пособии представлены примерные сценарии сюжетно-ролевых, театрализованных и дидактических игр, которые можно использовать в работе с детьми 3-4 лет. Книга адресована широкому кругу работников дошкольного образования, а также студентам педагогических колледжей и вузов.",1 600 тг,0,Мозаика-синтез,2016 г.,9785431504327,144,Мягкий,240 мм x 170 мм,235 г.,http://www.bookcity.kz/content/images/thumbs/5102393_1438904.jpeg
Развитие игровой деятельности. 4-5 лет. Средняя группа. ФГОС,Неизвестно,"Настоящее пособие издано в рамках учебно-методического комплекта к примерной общеобразовательной программе дошкольного образования ОТ РОЖДЕНИЯ ДО ШКОЛЫ под редакцией Н.Е.Вераксы, Т.С.Комаровой, М.А.Васильевой. В пособии представлены примерные сценарии сюжетно-ролевых, театрализованных и дидактических игр, которые можно использовать в работе с детьми 4-5 лет. Книга адресована широкому кругу работников дошкольного образования, а также студентам педагогических колледжей и вузов.",1 600 тг,0,Мозаика-синтез,2016 г.,9785431504310,160,Мягкий,240 мм x 170 мм,240 г.,http://www.bookcity.kz/content/images/thumbs/5102450_1438961.jpeg
Развитие познавательных способностей дошкольников 4 - 7 лет. ФГОС,Крашенников Е.Е.,"В пособии представлена система работы по развитию познавательных способностей дошкольников в ходе организованной образовательной деятельности (беседы, о суждения, опыты, эксперименты, исследования различных объектов и явлений окружающего мира). Основная цель данного пособия - развитие творческого, продуктивного, диалектического мышления дошкольников. Пособие адресовано воспитателям ДОУ, студентам педагогических колледжей и институтов, а также преподавателям курса дошкольной педагогики.",1 200 тг,0,Мозаика-синтез,2016 г.,9785431504181,80,Мягкий,240 мм x 170 мм,145 г.,http://www.bookcity.kz/content/images/thumbs/5102414_1438925.jpeg
Развитие речи в детском саду. 2 - 3 года. ФГОС,Неизвестно,"Настоящее пособие издано в рамках учебно-методического комплекта к примерной общеобразовательной программе дошкольного образования «От рождения до школы» под редакцией Н.Е.Вераксы, Т.С.Комаровой, М.А.Васильевой. В пособии представлена система работы по развитию речи у детей 2-3 лет. Книга адресована широкому кругу работников дошкольного образования, а также студентам педагогических колледжей и вузов.",1 700 тг,0,Мозаика-синтез,2016 г.,9785431504075,120,Мягкий,240 мм x 170 мм,206 г.,http://www.bookcity.kz/content/images/thumbs/5102445_1438956.jpeg
Развитие творческого мышления. Работаем по сказке (3-7 лет). ФГОС,Шиян О.А.,В книге представлена методика развития творческого мышления дошкольников в процессе работы по сказкам (русским народным и авторским). Методика апробирована в ходе экспериментальной работы на базе ДОУ № 1602 ВАО г. Москвы. Книга адресована педагогам дошкольных образовательных учреждений и родителям.,1 800 тг,0,Мозаика-синтез,2016 г.,9785431508295,112,Мягкий,240 мм x 170 мм,205 г.,http://www.bookcity.kz/content/images/thumbs/5102429_1438940.jpeg
Развитие художественных способностей дошкольников (3-7 лет). ФГОС,Неизвестно,"В пособии, выпущенном к программе ""От рождения до школы"" и соответствующем ФГОС, раскрываются взгляды художников, учёных-педагогов, психологов, психофизиологов на способности и одарённость детей в художественной деятельности, определяются компоненты способностей к рисованию. Утверждается необходимость развития творческих способностей, подчёркивается особое значение овладения детьми техникой не только для развития свободы творческого выражения. Книга адресована студентам педагогических вузов и колледжей, воспитателям дошкольных учреждений, педагогам художественных школ и студий, а также родителям. Рекомендовано Министерством Образования Науки и Российской Федерации.",1 900 тг,0,Мозаика-синтез,2015 г.,9785431503726,144,Мягкий,240 мм x 170 мм,290 г.,http://www.bookcity.kz/content/images/thumbs/5102397_1438908.jpeg
Ритмика в детском саду,Елисеева Е.,"В пособии систематизированы методические и психолого-педагогические основы занятий ритмикой с детьми дошкольного возраста, представлена система планирования игр-занятий с воспитанниками разных возрастных групп и дано портфолио игр и игровых упражнений для эффективного использования ритмических средств. Пособие рекомендовано для воспитателей и педагогов дополнительного образования, музыкальных руководителей дошкольных образовательных учреждений. Может быть интересно родителям дошкольников.",2 900 тг,0,Перспектива,2012 г.,9785985943603,104,Мягкий,7 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5106769_1443093.jpeg
Сказочная гжель,Неизвестно,"Серия наглядно-дидактических пособий ""Народное искусство - детям"" предназначена для групповых и индивидуальных занятий с детьми 3-7 лет. Наглядный материал знакомит детей с основными народными промыслами. Пособия дают представления о цветовой гамме, орнаментах, узорах, форме, а также об основных сюжетах в работах народных мастеров. Наглядный материал может быть с успехом использован на занятиях по изобразительной деятельности, по ознакомлению с окружающим миром и других.",1 500 тг,0,Мозаика-синтез,2015 г.,9785431506291,8,Мягкий,7 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5100877_1437514.jpeg
Сказочный театр физической культуры: физкультурные занятия с дошкольниками в музыкальном ритме сказок,Фомина Н.А.,"В пособии представлен материал по организации и проведению физкультурных занятий в музыкальном ритме сказок с дошкольниками 3-7 лет. Программа разработана на кафедре теории и методики физического воспитания Волгоградской государственной академии физической культуры (г. Волгоград) доктором педагогических наук, профессором Н.А.Фоминой. В течение многих лет по этой программе творчески и успешно работают воспитатели детских дошкольных учреждений. Предназначено пособие в помощь организаторам физического воспитания, музыкальным руководителям и воспитателям дошкольных учреждений может быть полезно студентам педагогических колледжей, вузов.",700 тг,0,Учитель,2014 г.,9785705734399,92,Мягкий,200 мм x 145 мм,65 г.,http://www.bookcity.kz/content/images/thumbs/5102297_1438808.jpeg
Социально-коммуникативное развитие дошкольников (2-3 года). ФГОС,Неизвестно,"Пособие посвящено социально-коммуникативному развитию детей 2-3 лет. В нем содержится практический материал, который поможет педагогам организовать совместную деятельность с детьми с учетом интеграции образовательных областей. Пособие адресовано педагогам дошкольных образовательных организаций, а также студентам педагогических колледжей и вузов.",1 400 тг,0,Мозаика-синтез,2016 г.,9785431509933,80,Мягкий,240 мм x 170 мм,145 г.,http://www.bookcity.kz/content/images/thumbs/5102464_1438975.jpeg
Социально-коммуникативное развитие дошкольников. 3-4 года. Младшая группа. ФГОС,Неизвестно,"Пособие «Социально-коммуникативное развитие дошкольников» посвящено социально-коммуникативному развитию детей 3–4 лет и входит в учебно-методический комплект программы «От рождения до школы». В нем содержится практический материал, который поможет педагогам организовать совместную деятельность с детьми с учетом интеграции образовательных областей. Пособие адресовано педагогам дошкольных образовательных организаций, а также студентам педагогических колледжей и вузов.",1 600 тг,0,Мозаика-синтез,2017 г.,9785431510755,80,Мягкий,240 мм x 170 мм,145 г.,http://www.bookcity.kz/content/images/thumbs/5102415_1438926.jpeg
Социально-нравственное воспитание дошкольников (3-7 лет). ФГОС,Неизвестно,"В книге раскрываются теоретические основы социального становления личности дошкольника описываются средства и методы формирования у детей осознанного отношения к социальному окружению и нормам морали, воспитания гуманных чувств и отношений, а также нравственно-волевых качеств раскрываются педагогические условия, способствующие решению задач социально-нравственного воспитания дошкольников, приводятся примеры из опыта работы педагогов ДОУ. Книга адресована педагогам дошкольных образовательных учреждений, преподавателям вузов и педагогических колледжей, аспирантам и магистрантам, а также слушателям курсов повышения квалификации работников дошкольного образования.",1 100 тг,0,Мозаика-синтез,2016 г.,9785431504112,80,Мягкий,240 мм x 170 мм,144 г.,http://www.bookcity.kz/content/images/thumbs/5102463_1438974.jpeg
Тематические классные часы и мероприятия. 1-4 классы,Персидская И.В.,"В пособии представлены оригинальные разработки классных часов, театрализованные мероприятия, тематические утренники для учащихся начальной школы, посвященные ежегодным календарным праздникам, таким как День знаний, День матери, День Конституции, День народного единства, Новый год, Международный женский день, День защитника Отечества, День здоровья.Разнообразие использованных форм: занимательные игры, викторины, спортивные и интеллектуальные соревнования - позволят интересно организовать детский досуг и расширить кругозор учащихся.Пособие предназначено учителям начальной школы, может быть полезно организаторам внеклассной работы, педагогам дополнительного образования, воспитателям групп продленного дня.",2 100 тг,0,Учитель,9785705744862,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5102241_1438752.jpeg
Технология проектирования образовательного процесса в дошкольной организации,"Бережнова О.,Тимофеева Л.","В методическом пособии рассмотрены концептуальные основы и практические подходы к проектированию образовательного процесса в соответствии с требованиями профессионального стандарта ""Педагог"". Акцент сделан на проблемах организации педагогической деятельности в сфере дошкольного образования в условиях внедрения ФРОС. Авторами предложены инновационные подходы к моделированию и конструированию образовательного процесса в современном детском саду, представлена пошаговая технология составления перспективно-календарного плана образовательной деятельности. Материалы приложений помогут организовать работу педагогического коллектива на разных этапах проектирования образовательного процесса, реализовать их в практике работы дошкольной организации.  Данное пособие адресовано специалистам органов управления образования, методических служб муниципалитетов, руководителям и педагогическим работникам дошкольных образовательных организаций, преподавателям и студентам педагогических вузов, колледжей.",2 800 тг,0,Цветной мир,2014 г.,9785431002083,144,Мягкий,240 мм x 170 мм,200 г.,http://www.bookcity.kz/content/images/thumbs/5111137_1443126.jpeg
Физическая культура в детском саду. (3-4 года). ФГОС,Неизвестно,"Настоящее пособие издано в рамках учебно-методического комплекта к примерной общеобразовательной программе дошкольного образования ""ОТ РОЖДЕНИЯ ДО ШКОЛЫ"" под редакцией Н.Е.Вераксы, Т.С.Комаровой, М.А.Васильевой. В пособии представлена система работы с детьми 3-4 лет по физической культуре. Книга адресована широкому кругу работников дошкольного образования, а также студентам педагогических колледжей и вузов.",1 100 тг,0,Мозаика-синтез,2016 г.,9785431504617,80,Мягкий,240 мм x 170 мм,144 г.,http://www.bookcity.kz/content/images/thumbs/5102444_1438955.jpeg
Физическая культура в детском саду. 6-7 лет. Подготовительная к школе группа. ФГОС,Неизвестно,"Настоящее пособие издано в рамках учебно-методического комплекта к примерной общеобразовательной программе дошкольного образования ""ОТ РОЖДЕНИЯ ДО ШКОЛЫ"" под редакцией Н.Е.Вераксы, Т.С.Комаровой, М.А.Васильевой. В пособии представлена система работы с детьми 6-7 лет по физической культуре. Книга адресована широкому кругу работников дошкольного образования, а также студентам педагогических колледжей и вузов.",1 400 тг,0,Мозаика-синтез,2016 г.,9785431504648,112,Мягкий,240 мм x 170 мм,191 г.,http://www.bookcity.kz/content/images/thumbs/5102461_1438972.jpeg
Фольклор и дети. Педагогика искусства,Неизвестно,"Декоративно-прикладное искусство - один из наиболее древних и поныне развивающихся видов народного творчества. Фольклорное по своей сути, оно воплощается в предметах быта, созданных по законам красоты.",1 600 тг,0,Цветной мир,2011 г.,9785431000119,64,Мягкий,280 мм x 200 мм,280 г.,http://www.bookcity.kz/content/images/thumbs/5035420_1357354.jpeg
Формирование основ безопасности у дошкольников (2-7 лет). ФГОС,Неизвестно,"Пособие поможет сформировать у дошкольников опыт безопасного поведения в различных ситуациях, знания о правилах безопасного поведения, умение действовать в тех или иных ситуациях, оценивать собственные возможности по преодолению опасности выработать привычку соблюдать меры предосторожности. Пособие адресовано педагогам дошкольных образовательных учреждений и родителям.",1 100 тг,0,Мозаика-синтез,2016 г.,9785431504105,64,Мягкий,240 мм x 170 мм,120 г.,http://www.bookcity.kz/content/images/thumbs/5102424_1438935.jpeg
Формирование элементарных математических представлений. 2-3 г. Вторая группа раннего возраста. ФГОС,Неизвестно,"Настоящее пособие издано в рамках учебно-методического комплекта к общеобразовательной программе дошкольного образования ""ОТ РОЖДЕНИЯ ДО ШКОЛЫ"" под редакцией Н.Е.Вераксы, Т.С.Комаровой, М.А.Васильевой. В пособии представлена система работы по формированию у детей 2-3 лет элементарных математических представлений. Предложенная система работы включает комплекс игровых заданий и упражнений, разнообразных методов и приемов обучения детей элементарной математике. Книга адресована широкому кругу работников дошкольного образования, а также студентам педагогических колледжей и вузов.",1 000 тг,0,Мозаика-синтез,2016 г.,9785431505584,48,Мягкий,240 мм x 170 мм,90 г.,http://www.bookcity.kz/content/images/thumbs/5102456_1438967.jpeg
Формирование элементарных математических представлений. 3-4 года. Младшая группа. ФГОС,"Помораева И.А., Позина В.А.","Настоящее пособие издано в рамках учебно-методического комплекта к примерной общеобразовательной программе дошкольного образования ОТ РОЖДЕНИЯ ДО ШКОЛЫ под редакцией Н.Е.Вераксы, Т.С.Комаровой, М.А.Васильевой. В пособии представлена система работы по формированию у детей 3-4 лет элементарных математических представлений. Предложенная система работы включает комплекс игровых заданий и упражнений, разнообразных методов и приемов обучения детей элементарной математике. Книга адресована широкому кругу работников дошкольного образования, а также студентам педагогических колледжей и вузов.",1 200 тг,0,Мозаика-синтез,2017 г.,9785431504211,64,Мягкий,240 мм x 170 мм,118 г.,http://www.bookcity.kz/content/images/thumbs/5109695_1438964.jpeg
Формирование элементарных математических представлений. 4-5 лет. Средняя группа. ФГОС,"Помораева И.А., Позина В.А.","Настоящее пособие издано в рамках учебно-методического комплекта к примерной общеобразовательной программе дошкольного образования ОТ РОЖДЕНИЯ ДО ШКОЛЫ под редакцией Н.Е.Вераксы, Т.С.Комаровой, М.А.Васильевой. В пособии представлена система работы по формированию у детей 4-5 лет элементарных математических представлений. Предложенная система работы включает комплекс игровых заданий и упражнений, наглядно-практических методов и приемов обучения детей элементарной математике. Книга адресована широкому кругу работников дошкольного образования, а также студентам педагогических колледжей и вузов.",1 200 тг,0,Мозаика-синтез,2016 г.,9785431504273,64,Мягкий,240 мм x 170 мм,135 г.,http://www.bookcity.kz/content/images/thumbs/5102442_1438953.jpeg
Формирование элементарных математических представлений. 5-6 лет. Старшая группа. ФГОС,Неизвестно,"Настоящее пособие издано в рамках учебно-методического комплекта к примерной общеобразовательной программе дошкольного образования ""От рождения до школы"" под редакцией Н.Е.Вераксы, Т.С.Комаровой, М.А.Васильевой. В пособии представлена система работы по формированию у детей 5-6 лет элементарных математических представлений. Предложенная система работы включает комплекс игровых заданий и упражнений, наглядно-практических методов и приемов обучения детей элементарной математике. Книга адресована широкому кругу работников дошкольного образования, а также студентам педагогических колледжей и вузов.",1 200 тг,0,Мозаика-синтез,2016 г.,9785431504204,80,Мягкий,240 мм x 170 мм,145 г.,http://www.bookcity.kz/content/images/thumbs/5102448_1438959.jpeg
Художественное творчество: комплексные занятия. Группа раннего возраста (от 2 до 3 лет),Павлова О.В.,"Пособие знакомит с педагогическим опытом сопровождения детей в освоении образовательной области ""Художественно-эстетическое развитие"" с учетом ФГОС ДО. Организованная образовательная деятельность по рисованию, конструированию и труду в первой младшей группе направлена на развитие у малышей интереса к художественно-изобразительной деятельности, воспитание эстетического отношения к восприятию действительности, формирование начальных умений техники изготовления лепки, аппликации, рисунка. В основе предлагаемой деятельности - использование игровых элементов и комплексный подход, сочетающий взаимосвязь в содержании программных требований по развитию речи, ознакомлению с окружающим миром, физической культуре и художественно-творческой деятельности. Предназначено воспитателям, педагогам дополнительного образования ДОО полезно родителям для занятий с детьми раннего возраста по развитию художественно-прикладных умений.",1 200 тг,0,Учитель,2017 г.,9785705748853,144,Мягкий,200 мм x 145 мм,95 г.,http://www.bookcity.kz/content/images/thumbs/5102300_1438811.jpeg
Художественный труд. Подготовительная группа. Рабочая тетрадь,Лыкова И.,"Авторская программа художественного воспитания, обучения и развития детей 2-7 лет ""Цветные ладошки"" (ФГТ) (формирование эстетического отношения и художественно-творческое развитие в изобразительной деятельности) представляет оригинальный вариант реализации базисного содержания и специфических задач эстетического воспитания детей в изобразительной деятельности. Программа ""Цветные ладошки"" содержит систему занятий по лепке, аппликации и рисованию для всех возрастных групп дошкольного учреждения (задачи, планирование, конспекты занятий). Программа обеспечена современными наглядно-методическими и практическими пособиями. Программа ""Цветные ладошки"" адресована заведующим, методистам и воспитателям дошкольных учреждений, педагогам дополнительного образования, гувернерам, студентам",600 тг,0,Цветной мир,2012 г.,9785431000164,144,Мягкий,280 мм x 200 мм,80 г.,http://www.bookcity.kz/content/images/thumbs/5013243_1334544.jpeg
Художественный труд. Средняя группа. Рабочая тетрадь,Лыкова И.,"Книга раскрывает систему работы с детьми пятого, шестого и седьмого года жизни на занятиях по художественному труду и в самостоятельной творческой деятельности. Комплект соответствует рекомендациям ФГТ.",600 тг,0,Цветной мир,2012 г.,9785431000140,20,Мягкий,280 мм x 200 мм,170 г.,http://www.bookcity.kz/content/images/thumbs/4199662_1338509.jpeg
Художественный труд. Старшая группа. Рабочая тетрадь,Лыкова И.,"Рекомендуются для индивидуальной работы детей старшей группы в дошкольном учреждении и в семье, помогают организовать содержательное взаимодействие педагога с родителями воспитанников. Могут быть полезны в работе малокомплектного и семейного детского сада, а также в системе дополнительного художественного образования с учетом регионального содержания.",600 тг,0,Цветной мир,2012 г.,9785431000157,20,Мягкий,280 мм x 200 мм,50 г.,http://www.bookcity.kz/content/images/thumbs/5014414_1334996.jpeg
Цоколочка. Логопедические игры. Рабочая тетрадь,"Баскакина И.В., Лынская М.И.","В тетради представлены занимательные авторские игры для развития всех сторон речи детей дошкольного возраста. Предложен материал для автоматизации правильного произношения трудного звука Ц. Особенностью тетради является оригинальный подбор языкового, речевого и дидактического материала. Пособие поможет сформировать у детей навыки звукового анализа и синтеза, что подготовит их к овладению письменной речью. Особое внимание уделено развитию лексико-грамматической стороны речи и обучению связному высказыванию. Задания на развитие мелкой моторики помогут подготовить руку ребенка к письму. Родителям, логопедам и воспитателям для развивающих занятий с детьми.",600 тг,0,Айрис-Пресс,2016 г.,9785811261512,32,Мягкий,240 мм x 170 мм,57 г.,http://www.bookcity.kz/content/images/thumbs/5068340_1408044.jpeg
