Название,Автор,Цена,Описание,Издательство,Год издания,Штрих-код,Количество страниц,Переплет,Размер,Толщина,Вес,Картина
Судебная практика. Прецеденты по спорам о праве собственности,Чурилов Ю.,"Наиболее распространенными и одновременно самыми сложными в юридической практике являются споры о праве собственности. Автор книги представил самые интересные, а иногда и противоречивые правовые позиции судов по данной категории дел в качестве необходимой базы для работы любого юриста. Книга будет полезным ресурсом для начинающих юристов и профессионалов, а также для всех читателей, интересующихся юриспруденцией, поскольку существенно сэкономит время в поисках нужной информации, облегчит понимание непростых формулировок закона и поможет избежать ошибок в юридической практике.",3 200 тг,3,АСТ,2018 г.,9785171078171,320,Твердый,24 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5117302_1450229.jpeg
"Судебные прецеденты для практикующих юристов. 2-е издание, дополненное и переработанное",Чурилов Ю.,"В сборник включены судебные решения Верховного и Конституционного Судов РФ 2018 года! В настоящем сборнике, составленном практикующим адвокатом, представлено более двухсот наиболее показательных, интересных и иллюстративных правовых позиций и решений Конституционного и Верховного Судов РФ по конкретным делам из различных отраслей права, необходимых в повседневной работе каждого практикующего юриста. 
Книга должна оказаться полезной всем начинающим юристам и профессионалам, а также читателям, интересующимся юриспруденцией, поскольку существенно сэкономит время в поисках нужной информации в сети Интернет и справочно-правовых системах, облегчит понимание непростых формулировок закона и поможет избежать ошибок в юридической практике.",4 000 тг,3,АСТ,2019 г.,9785171133801,Твердый,28 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5129935_1462337.jpeg
Супермен по привычке. Как внедрять и закреплять полезные навыки,Тайнан,"О книгеКороткая и практичная книга о том, как внедрять и закреплять полезные привычки.Что такое привычка? Это верный способ улучшить здоровье, повысить качество жизни, увеличить продуктивность рабочих часов и наслаждаться свободой, затратив определенное количество энергии на формирование шаблона поведения, а не выжимая каждый раз до предела ресурсы силы воли.Привычки - вот механизм, который лежит в основе жизни людей, которыми мы обычно восхищаемся. Они преуспевают на работе, обладают прекрасным здоровьем, поддерживают хорошие отношения с близкими - и, главное, они неизменно счастливы и спокойны. Конечно, можно объяснить такой успех исключительностью этих персон, будто они лучше, чем все остальные. Но если это и так, то все благодаря тому, что они мастерски формируют привычки и не отступают от них.Да, можно полагаться на силу воли, но ее запас ограничен. Человек, который пытается самоорганизоваться, направляет всю целеустремленность на формирование привычек, однако потом ему воздается сторицей, ведь чтобы придерживаться уже выработанной манеры поведения, сила воли не нужна. Некоторые люди считают, что в любой ситуации могут положиться на свою волю. Этот подход отчасти верен, но как только наваливаются усталость, голод или переутомление, ресурс самоконтроля истощается моментально.Привычки не делают из вас робота. Они дарят свободу и экономят важнейший ресурс - силу воли. Эта книга поможет вам закрепить правильные привычки.Для кого эта книгаДля всех, кто хочет закрепить хорошие привычки навсегда.",5 800 тг,0,"Манн, Иванов и Фербер",2017 г.,9785001008378,176,Твердый,215 мм x 145 мм,290 г.,http://www.bookcity.kz/content/images/thumbs/5114848_1447864.jpeg
Суперпотребители. Кто это и почему они так важны для вашего бизнеса,Юн Э.,"О книгеВ отличие от обычных покупателей суперпотребители очень заинтересованы в ваших товарах, а возможно, даже слегка помешаны на них.Они знают о кроссовках всё и имеют десятки пар. Они спортивные фанаты c копиями футболок любимой команды, а стены их гаражей украшены подписанной символикой.Суперпотребители не случайные люди, которые закупаются в массовом количестве. Это эмоциональные покупатели, чьи решения о приобретении товаров основаны на жизненных ценностях и стремлениях.Например, суперпотребитель Gatorade покупает продукты компании не просто потому, что ему нравится их вкус. Он выбирает бренд, так как тот отражает упорную работу, а продукты Gatorade позволят ему быстрее восстановиться после тяжёлой тренировки.Суперпотребитель ""нанимает"" Gatorade на работу по улучшению его результатов - преданность, которая также имеет отношение к более широкой жизненной цели подготовиться к марафону.Суперпотребители могут быть разнородной группой, которую сложно определить. Но автор этой книги вместе с коллегами по The Cambridge Group имеет доступ к огромному объему данных о том, что люди смотрят и покупают. Проанализировав базу данных Nielsen US Homescan, которая состоит из данных по 100 000 американских домохозяйств, согласившихся на измерение их покупок, и другие источники информации, он узнал, что движет этими людьми и что делает их благосклонными к компаниям.Для кого эта книгаДля руководителей, собственников бизнеса, маркетологов и директоров по развитию.",9 500 тг,0,"Манн, Иванов и Фербер",2017 г.,9785001008521,192,Твердый,215 мм x 145 мм,255 г.,http://www.bookcity.kz/content/images/thumbs/5106584_1442944.jpeg
"Суперработа, суперкарьера","Кови С., Колоcимо Д.","""Если вы действительно хотите построить великую карьеру и готовы начать прямо сейчас, купите эту книгу. Она не только изменит ваше отношение к работе, но и даст мудрые советы тактического плана, о том как получить место или должность, о кторых вы так долго мечтали"". (Кейт Феррацци, автопр книги ""Никогда не ешьте в одиночку и другие правила нетворкинга"".",3 700 тг,0,Эксмо,2017 г.,9785699724963,288,Твердый,21 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5102092_1438617.jpeg
СУПЕРФЭНДОМ. Как под воздействием увлеченности меняются объекты нашего потребления и мы сами,"Фрааде-Бланар З., Глейзер А.","""Интернет обеспечивает непосредственный контакт с ядром аудитории при создании инновационных продуктов и технологий — теперь компании могут общаться со своими фанатами напрямую эта новая эра тесного симбиоза открывает для производителей новые возможности. Влияние фанатов становится сильнее, так как фэндомы все активнее стремятся участвовать в судьбе тех вещей и явлений, которые они боготворят. Авторы книги в провоцирующей манере исследуют эти развивающиеся взаимодействия, опираясь на множество примеров, и пытаются объяснить, почему одни типы коммуникаций с фанатами оказываются успешными, а другие – нет.  ""В данный момент фан-объекты и фанаты играют две разные роли в мире потребления. Есть производители, и есть покупатели. Эти две категории редко пересекаются. Но по мере того, как аудитория от простого потребления фан-текста переходит к влиянию на этот фан-текст или даже к дополнению его, зазор между аудиторией и фан-объектом сужается.Что произойдет, когда этот зазор исчезнет? Ждать этого придется не очень долго. Мы вступаем в эпоху сближения, эпоху фэндомной сингулярности, когда сотрутся границы между фан-объектом и фанатами, между создателем и потребителем. Это то будущее, в котором линии коммуникации между продуктом и покупателем работают в обоих направлениях. Это будущее, в котором все составляет часть общего канона"".(Зои Фрааде-Бланар, Арон Глейзер)""",3 900 тг,0,Азбука-Аттикус,2017 г.,978538911676401,352,Твердый,19 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5114301_1447417.jpeg
"Суть перемен. Невыдуманные истории о том, как люди изменяют свои организации",Неизвестно,"Книга профессора Гарвардской школы бизнеса Джона П.Коттера и главы известной компании Deloitte Consulting Дэна С.Коэна посвящена проведению организационных преобразований в условиях внешней нестабильности на примере реформ в более чем 90 компаний из США, Европы, Австралии и Южной Африки. Главное открытие книги состоит в том, что узловым вопросом реформ является не стратегия, структура, корпоративная культура или системы, а изменение поведения людей. Авторы предлагают новый и в чем-то неожиданный подход ""увидеть-прочувствовать-изменить"" в дополнение к традиционному ""проанализировать-продумать-действовать"". Особый интерес книге придают 34 невыдуманные истории, которые иллюстрируют методы и приемы, предлагаемые лидерам реформ для изменения поведения работников.  Книгу с удовольствием прочтут руководители крупных предприятий, менеджеры, преподаватели и студенты высших учебных заведений.",4 600 тг,0,Олимп-Бизнес,2017 г.,9785969302815,244,Мягкий,215 мм x 145 мм,305 г.,http://www.bookcity.kz/content/images/thumbs/5116263_1449208.jpeg
Сфера услуг.Экономика. Учебное пособие,Бурменко Т.Д.,"Учебное пособие ""Сфера услуг: экономика"" является частью учебного комплекса ""Сфера услуг: экономика, менеджмент, маркетинг"". В этом пособии в систематизированном виде излагаются вопросы функционирования сферы услуг как ведущего сектора современной экономики. Рассматриваются сущность и классификация услуг в современном обществе, рынок услуг, порядок и принципы составления бизнес-плана для малых предприятий в сфере услуг.",1 300 тг,1,КноРус,2007 г.,9785859712274,328,Мягкий,215 мм x 145 мм,240 г.,http://www.bookcity.kz/content/images/thumbs/5010169_1332171.jpeg
"Счастливый клевер человечества: Всеобщая история открытий, технологий, конкуренции и богатства",Махов В.,"Цитата""Любой организм после периода расцвета увядает. Это значит, что где-то должен прорасти и возникнуть новый счастливый клевер"". Вадим Махов О чем книгаО смысле биологической и социальной эволюции, о том, какие перемены они привнесли в человечество и каких перемен ждать в ближайшем будущем. Эта книга представляет собой попытку взглянуть на мир под углом прошлого и обозримого будущего, понять, что было бы с современным обществом, отклонись оно от развития на милимметр вправо или влево. Почему книга достойна прочтения   Открытием автора стала единая модель развития общества вне зависимости от рассматриваемой эпохи, названная им счастливым клевером человечества. Согласно теории Махова, четыре элемента - знания, общество, бизнес и богатство - позволяют оценивать успех развития того или иного общества на основе их анализа. При этом Махов старается показать механизм слаженного взаимодействия лепестков на примере инновационного развития современного общества, где ""предприниматели - это особый класс людей, без которых схема не работает, а клевер не цветет"".    ""На каждом инновационном цикле, на каждом очередном эволюционном витке для расцвета четырехлистного клевера в действие приводятся одни и те же функции - созидание, встраивание, конкуренция и фильтрация (отбор). Результатом является накопленное общественное богатство - один из лепестков счастливого клевера, который позволяет создавать запас ""энергии"" для следующего этапа адаптации"".    Для удобства восприятия информации автор предлагает рассмотреть модель счастливого клевера в разбивке четырех эпох эволюции человечества. Это биологическая эволюция и выделение человека из биологической эволюции период эволюции цивилизаций период от эпохи Ренессанса в Европе до наших дней от наших дней до 2050 г. и далее. Для кого эта книгаДля широкого круга эрудированных читателей. АвторВадим Махов - председатель Совета директоров ПАО ""Объединенные машиностроительные заводы (ОМЗ)"". Значительный практический опыт получил, работая в ""Северстали"" в 1994-2009 гг., где прошел путь от заместителя начальника лаборатории экономических исследований до председателя комитета Совета директоров по стратегии. Является профессором школы бизнеса ""Сколково"", где разработал и ведет курсы бизнес-планирования и инноваций. Ключевые словаИнновации, наука, эволюция, клевер, счастливый клевер человечества, развитие, эпохи, общество.",10 200 тг,0,Альпина Паблишер,2016 г.,9785961455052,614,Твердый,240 мм x 170 мм,1115 г.,http://www.bookcity.kz/content/images/thumbs/5107694_1444011.jpeg
Сыбайлас жемқорлыққа қарсы іс-қимыл туралы. ҚР Заңы. 2019,Неизвестно,Неизвестно,400 тг,5,Юрист,2019 г.,2200003131154,Мягкий,2 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5081355_1420198.jpeg
Тайм-менеджмент по Брайану Трейси: Как заставить время работать на вас,Трейси Б. ,"Цитата Изучая жизнь преуспевающих людей, я все сильнее убеждался в том, что всех их объединяет одно: они умеют ценить время. Брайан Трейси О чем книга О том, как извлечь максимум из своего времени, работать в несколько раз продуктивнее и обеспечить стремительный рост своих доходов. Почему книга достойна прочтения В ней описана универсальная методика, которую каждый сможет адаптировать под себя. Изучив книгу, вы получите в свое распоряжение два дополнительных часа в день. Вы научитесь выполнять только те задачи, которые приносят максимум пользы и денег. Для кого эта книга Для всех, кто хочет обрести контроль над своей жизнью, больше успевать не только на работе, но и за ее пределами. Кто автор Брайан Трейси - один из лучших бизнес-консультантов в мире и автор бестселлеров. Он посвятил более 25 лет изучению самых эффективных методов тайм-менеджмента, которые используются...",4 700 тг,5,Альпина Паблишер,2019 г.,9785961450743,302,Мягкий,200 мм x 130 мм,276 г.,http://www.bookcity.kz/content/images/thumbs/5071217_1410774.jpeg
Тайная логика организационного устройства компании. ORG,Фисман Р.,"Многие руководители знают сколь силен иногда соблазн поверить в очередную новую фишку менеджмента, в то, что ""5 простых шагов"" и ""8 безотказных правил"" решат все проблемы компании, а избавление от чрезмерного количества менеджеров спрямит и ускорит организационные процессы и сделает их более понятными и рациональными. В своей провокационной книге Рэй Фисман и Тим Салливан показывают, что в подавляющем большинстве случаев формализация полезна, менеджерская вертикаль логична, а стандартизация отчетов и множество совещаний необходимы для того, чтобы любой проект был доведен до конца, а его результаты предсказуемы. Иначе компании утонут в хаосе и станут менее эффективными. Поэтому стоит перестать жаловаться на трудности офисной жизни и посмотреть на многие проявления организационной деятельности как на неизбежные компромиссы, обязательные элементы, присущие самой природе компаний, необходимое условие их успеха. Авторы подкрепляют свои выводы убедительными примерами...",5 000 тг,0,Азбука-Аттикус,2014 г.,978538905866801,288,Твердый,240 мм x 170 мм,525 г.,http://www.bookcity.kz/content/images/thumbs/5090248_1428284.jpeg
Талап арыздардың үлгілері + CD,Ларионов Е.М.,Неизвестно,6 200 тг,2,Лем,2017 г.,9786012392029,Мягкий,10 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/4952468_1368933.jpeg
Талисман победителя,Давлатов С.Р.,Неизвестно,4 700 тг,5,Басма,2017 г.,2200003849400,Твердый,21 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132135_1464487.jpeg
Таргетированная реклама. Точно в яблочко,Щербаков С.А.,"Таргетированная реклама - ""целевая"", ее видит конкретная аудитория пользователей, соответствующих заданным вами характеристикам (географическим, демографическим, социальным, поведенческим и т. д.). Ее задача - привлечь внимание, вызвать доверие, заставить зайти на сайт, в магазин или позвонить по номеру. Эта книга о том, на какие кнопки нажимать, чтобы добиться продаж и окупаемости в социальных сетях.",7 400 тг,5,Питер,2019 г.,9785446104840,352,Твердый,24 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5115393_1448377.jpeg
"Текст, который продает товар, услугу или бренд",Шуст А.,"Анна Шуст — журналист с опытом работы в газетах, журналах и на телеканалах «Россия» и «Спорт», предприниматель, блогер. Совладелец брендов Mum’s Era и «Ехидна» и компании по производству товаров для мам и малышей. 12 лет в бизнесе, занимает должность директора по маркетингу и развитию в собственной компании. На блог @sila.slova в «Инстаграме» подписано более 120 тысяч человек, а обучение копирайтингу в ее «Лаборатории эффективного блога» уже прошли более 8 тысяч человек. www.sila-slova.info",3 300 тг,3,АСТ,2019 г.,9785171078294,352,Твердый,25 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5119942_1452758.jpeg
"Тексты, которые продают. Повышение прибыли без бюджета",Рязанцев А.В.,"Перед вами — эффективная инструкция к написанию продающих текстов. Автор обобщил собственный опыт в создании не только коммерческих предложений и рассылок, но и новых, эффективных в применении к российскому бизнесу инструментов: маркетинг-кит, видео-копирайтинг (когда каждое видео пишется на основе текста), продающие landingpage и др.Уникальность книги состоит в комплексном подходе ко всем каналам использования продающих текстов в бизнесе. Она не только подскажет вам, как написать крутой текст, но и научит тому, как извлечь из него максимальную прибыль.Книга подходит как для директоров, так и для руководителей отделов продаж, желающих выйти на новый уровень.",3 100 тг,4,Омега-Л,2018 г.,9785370041471,122,Твердый,200 мм x 130 мм,200 г.,http://www.bookcity.kz/content/images/thumbs/5104675_1441094.jpeg
"Тексты, которым верят. Коротко, понятно, позитивно",Панда П.,"Перед вами мощное оружие по усилению любых видов текстов. Своего рода ""библия современного копирайтера"". Только важное и действенное. Только проверенные методы, фишки и приемы от создателя стиля ""Убедительно-позитивный копирайтинг"" Петра Панды. С помощью этой книги вы научитесь создавать по-настоящему убедительные продающие и рекламные тексты. Теперь вы сможете писать не ""как все"". Это редкий и очень ценный навык. Писать в формате убедительного копирайтинга пока умеют единицы, но теперь и вы в числе избранных. Там, где другие будут повторять тысячи уже набивших оскомину штампов, вы будете бить точно в цель. Продавать. Убеждать. Доказывать. Вы научитесь писать так, чтобы читатели говорили ""хотим как у вас"" и ""мы вам поверили"". Это элитарное знание, где за простотой подачи скрывается серьезная подготовка, опыт и знание закрытой профессиональной информации. Я отдаю вам все, что умею сам. Книга обязательна для изучения копирайтерам, контент-менеджерам, владельцам сайтов, бизнесменам, фрилансерам и всем тем, кто желает научиться создавать простые, конкретные, дружелюбные, ироничные, убедительные тексты для рекламы, бизнеса и просто конечного потребителя.",4 500 тг,4,Питер,2019 г.,9785446108701,256,Твердый,221 мм x 150 мм,420 г.,http://www.bookcity.kz/content/images/thumbs/5119748_1452564.jpeg
Тендерные продажи. Первая книга о тендерах на человеческом языке,Гуськов А.Г.,"Если вы мечтаете о том, чтобы Ваш бизнес наконец-то вырос из малого или микробизнеса в большой и сильный, начните изучение темы тендерных продаж с этой книги. Получив новые знания, вы сможете с максимальной эффективностью продавать любой товар, работы или услуги на российских электронных тендерах, оптом и в розницу. Узнаете, как построить тендерный отдел с вашим минимальным участием и без рисков. А если вы уже начали внедрение тендерного канала - поймете, что делали до сих пор неправильно и как достичь максимизации выручки. Эта книга станет главным ориентиром для собственника бизнеса, который стремится к извлечению максимальной прибыли из своего дела в России.",3 800 тг,1,Омега-Л,2018 г.,9785370040153,142,Твердый,240 мм x 170 мм,320 г.,http://www.bookcity.kz/content/images/thumbs/5094700_1432704.jpeg
Тендеры. Первая книга о тендерах на человеческом языке. 2-е изд,Гуськов А.Г.,"Если вы мечтаете о том, чтобы Ваш бизнес наконец-то вырос из малого или микробизнеса в большой и сильный, начните изучение темы тендерных продаж с этой книги.Получив новые знания, вы сможете с максимальной эффективностью продавать любой товар, работы или услуги на российских электронных тендерах, оптом и в розницу. Узнаете, как построить тендерный отдел с вашим минимальным участием и без рисков. А если вы уже начали внедрение тендерного канала - поймете, что делали до сих пор неправильно и как достичь максимизации выручки.Эта книга станет главным ориентиром для собственника бизнеса, который стремится к извлечению максимальной прибыли из своего дела в России.",2 700 тг,0,Омега-Л,2017 г.,9785370040221,142,Твердый,240 мм x 170 мм,320 г.,http://www.bookcity.kz/content/images/thumbs/5104492_1440913.jpeg
Теория антикризисного управления предприятием,Кован С.Е.,"Раскрываются основные положения теории антикризисного управления и практические подходы к управлению предприятиями и организациями, находящимися в состоянии финансово-экономических кризисов. Обобщаются педагогический опыт и практика подготовки студентов по специальности ""Антикризисное управление"".",1 300 тг,1,КноРус,2009 г.,9785390001110,160,Мягкий,215 мм x 145 мм,122 г.,http://www.bookcity.kz/content/images/thumbs/5046008_1366933.jpeg
Теория бухгалтерского учета (сборник тестов),Кабылова Н.К.,Неизвестно,1 300 тг,0,Фолиант баспасы,2013 г.,9789965359668,Твердый,14 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5049808_1393462.jpeg
Теория и практика маркетинга. Учебное пособие,Рахимбаев,Неизвестно,2 700 тг,0,Нур-пресс,2018 г.,9789965813054,Мягкий,15 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5115460_1448451.jpeg
Теория и практика массовой информации. Учебник для вузов. Стандарт третьего поколения,Ким М.Н.,"В учебнике подробно рассматривается работа журналиста в контексте новых информационных технологий, связанных с развитием компьютерных сетей, мультимедиа, Интернет. Все эти новшества не только изменили методы обработки и хранения информации, но и способы ее передачи. Журналистика эпохи глобального информационного поля становится все более универсальной, всепроникающей, интерактивной и динамично изменяющейся. Поэтому автор знакомит студентов с эволюцией различных концепций в области современной журналистики и массовой коммуникации, с функционированием системы средств массовой информации, с деятельностью журналистских коллективов по производству медийной продукции, с особенностями журналистского творчества в различных жанрах, а также с ролью общедоступной информации в системе массовой коммуникации и журналистики. Учебник рассчитан не только на будущих журналистов и PR-специалистов, но и на практикующих профессионалов.",7 200 тг,0,Питер,2017 г.,9785496024938,304,Твердый,215 мм x 145 мм,380 г.,http://www.bookcity.kz/content/images/thumbs/5091813_1429749.jpeg
Теория игр. Искусство стратегического мышления в бизнесе и жизни,"Диксит А., Нейлбафф Б.","О чем эта книга Теория игр - это строгое стратегическое мышление. Это искусство предугадывать следующий ход соперника с учетом того, что он занимается тем же самым. Её изучение может сформировать совсем новый взгляд на устройство мира и на то, как люди взаимодействуют. На примерах из кино, спорта, политики, истории авторы показывают, как почти все компании и люди вовлечены во взаимодействия, которые описываются теорией игр. Знание теории игр сделает вас более успешным в бизнесе и жизни. Для кого книга Это книга для тех, кто хочет добиться большего в бизнесе и жизни, используя научно доказанные стратегии. И для тех, кто увлекается математикой и теорией игр и хочет больше узнать о прикладных аспектах этой науки. Цитаты из книги Теория игр Теория игр - это раздел общественных наук, который изучает принятие стратегических решений. Теория игр охватывает самые разные игры - от шахмат до воспитания детей, от тенниса до поглощения компаний, от рекламы...",7 300 тг,5,"Манн, Иванов и Фербер",2018 г.,9785000578490,494,Мягкий,215 мм x 170 мм,675 г.,http://www.bookcity.kz/content/images/thumbs/5099906_1430229.jpeg
Теория игр. Искусство стратегического мышления в бизнесе и жизни,"Диксит А., Нейлбафф Б.","Теория игр - это строгое стратегическое мышление. Это искусство предугадывать следующий ход соперника с учетом того, что он занимается тем же самым. Её изучение может сформировать совсем новый взгляд на устройство мира и на то, как люди взаимодействуют. 
На примерах из кино, спорта, политики, истории авторы показывают, как почти все компании и люди вовлечены во взаимодействия, которые описываются теорией игр. Знание теории игр сделает вас более успешным в бизнесе и жизни.",8 600 тг,5,"Манн, Иванов и Фербер",2018 г.,9785001462057,Мягкий,20 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5131878_1464238.jpeg
Теория каст и ролей,Крол А.,"Революционная книга, в которой автор делит общество на касты и описывает роли людей в них.Касты определяют уровень свободы и безопасности каждого человека.Рабы, чиновники, жандармы, профессионалы, рантье, топ-менеджеры, олигархи, бизнесмены, властители, жрецы - вы сможете изучить их характеристики и определить свою касту и роль в ней как некую точку отсчета. От нее автор предложит вам путь к высшим кастам, где царит полная свобода и подлинное счастье.ЭТА КНИГА СПОСОБНА ИЗМЕНИТЬ ЖИЗНЬ КАЖДОГО, КТО ЕЕ ПРОЧТЕТ.ЕЩЕ ДО ОФИЦИАЛЬНОЙ ПУБЛИКАЦИИ ОНА ИМЕЛА ТЫСЯЧИ ПРИВЕРЖЕНЦЕВ.",5 100 тг,4,Эксмо,2018 г.,9785040895250,160,Твердый,240 мм x 170 мм,405 г.,http://www.bookcity.kz/content/images/thumbs/5115559_1448557.jpeg
Теория решения изобретательских задач - ТРИЗ: Уровень 1.,Петров В.,"Эта книга представляет собой начальный (первый) уровень изучения теории решения изобретательских задач (ТРИЗ) из серии ""ТРИЗ от А до Я"". Некоторые из материалов этой книги обсуждались с Генрихом Альтшуллером.",5 000 тг,1,Солон-пресс,2017 г.,9785913592088,13 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5124013_1456692.jpeg
Теория решения изобретательских задач. ТРИЗ от А до Я Уровень 2,Петров В.,"Эта книга представляет собой второй уровень изучения теории решения изобретательских задач (ТРИЗ) из серии ""ТРИЗ от А до Я"". 
В книге описана логика решения изобретательских задач, являющаяся дальнейшим углублением рассмотренных ранее понятий о противоречиях и идеальном конечном результате (ИКР), кроме того, расширяются и углубляются знания о всех видах приемов устранения противоречий и ресурсов. Приводится их классификация и детальный разбор. 
В учебнике уделяется большое внимание практике использования этих инструментов. 
Материал легко и быстро усваивается. Этих знаний достаточно для решения многих изобретательских задач. В учебнике уделяется большое внимание практике использования этих инструментов, поэтому книга включает много заданий для самостоятельной работы, которые разбираются в приложениях.",4 400 тг,0,Солон-пресс,2017 г.,9785913592460,13 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5123991_1456670.jpeg
