"Название","Автор","Цена","Описание","Издательство","Год издания","Штрих-код","Количество страниц","Переплет","Размер","Толщина","Вес","Картина"
"Финский с любовью. Й. Линнанскоски. Песнь об огненно-красном цветке","Пешиева М.","Роман «Песнь об огненно-красном цветке» — своеобразная интерпретация бессмертного сюжета о Дон Жуане — является одним из самых читаемых произведений финской литературы. Глубокое и яркое, страстное и поэтичное, оно по выражению одного из критиков стало «чудо-цветком, расцветшим в суровых северных лесах и манящим каким-то необычайным, неповторимым ароматом». .Текст романа адаптирован в настоящем издании (без упрощения текста оригинала) по методу Ильи Франка: снабжен дословным переводом на русский язык и необходимым лексико-грамматическим комментарием. .Уникальность метода заключается в том, что запоминание слов и выражений происходит за счет их повторяемости, без заучивания и необходимости использовать словарь.","2 700 тг","2","Восточная книга","2016 г.","9785787310108","Мягкий","Неизвестно","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5115026_1448030.jpeg"
"Финский шутя. Анекдоты и шутки для начального чтения","Грушевский В.","Книга представляет собой сборник современных финских анекдотов, адаптированных (без упрощения текста оригинала) по методу Ильи Франка. Уникальность метода заключается в том, что запоминание слов и выражений происходит за счет их повторяемости, без заучивания и необходимости использовать словарь.","2 300 тг","0","Восточная книга","2018 г.","9785787312799","Мягкий","6 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5128299_1460785.jpeg"
"Фонетика современного английского языка: Теоретический курс","Бурая Е.А.","Неизвестно","2 600 тг","0","Академия","2008 г.","9785769547911","Твердый","15 мм","379 г.","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5027589_1348799.jpeg"
"Фонетика.Начинаем читать, писать и говорить по-англиски","Ефимова Р.Н.","Настоящий учебник предназначен для тех, кто впервые приступает к изучению английского языка самостоятельно или под руководством преподавателя, а также для тех, кто по разным причинам еще не овладел основами языка и слабо ориентируется в нем. В данном пособии представлены материалы, разработанные специально для начинающих на основе новейших британских методик преподавания, которые помогут учащимся получить и закрепить первые навыки практического владения английским языком.","2 500 тг","4","Каро","2018 г.","9785992507140","144","Мягкий","215 мм x 170 мм","196 г.","http://www.bookcity.kz/content/images/thumbs/5116139_1449085.jpeg"
"Форрест Гамп (англ.яз., адаптир.)","Грум У.","Форрест Гамп - наивный и доверчивый человек, сохранивший незамутнённый детский взгляд на мир, - рассказывает на страницах романа историю своей жизни. Это необычное повествование, полное острой сатиры и несентиментального романтизма, где в непосредственном восприятии героя отражаются страницы истории Америки 60-70-х годов ХХ века. В книге представлен сокращённый и адаптированный текст уровня Intermediate. Дополнительное описание: Адаптация, сокращения и словарь И. Б. Загородней","2 000 тг","4","Каро","2018 г.","9785990866607","128","Мягкий","220 мм x 130 мм","135 г.","http://www.bookcity.kz/content/images/thumbs/5116627_1449560.jpeg"
"Фразеологический словарь русского языка","Розенталь Д.Э., Краснянский В.В.","""Фразеологический словарь"" содержит около 700 фразеологических оборотов, широко используемых в современном русском языке и встречающихся в произведениях художественной литературы, в периодической печати и разговорной речи.В словаре раскрываются значения фразеологизмов, приводятся стилистические характеристики, исторические и этимологические справки.Словарь предназначен для учащихся старших классов, студентов и преподавателей, а также для широкого круга читателей.","8 000 тг","1","Мир и Образование","2017 г.","9785946667722","416","Твердый","215 мм x 145 мм","545 г.","http://www.bookcity.kz/content/images/thumbs/5116238_1449183.jpeg"
"Фразовые глаголы английского языка: краткий справочник","Угарова Е.В.","Правильное употребление фразовых глаголов в речи придает ей настоящее английское звучание. Компактный и простой в использовании справочник английских фразовых глаголов - надежный помощник каждого, кто хочет успешно овладеть английским языком.","500 тг","5","Айрис","2019 г.","9785811256112","96","Мягкий","140 мм x 100 мм","35 г.","http://www.bookcity.kz/content/images/thumbs/5073236_1412200.jpeg"
"Французская грамматика в таблицах и схемах","Иванченко А.И.","Пособие представляет собой краткий справочник по грамматике французского языка для учащихся средних школ, но может быть использован и студентами неязыковых вузов. Пособие не содержит полного изложения курса практической грамматики и предполагает работу со сборником упражнений для усвоения грамматического материала.","2 100 тг","5","Каро","2017 г.","9785992504026","128","Мягкий","6 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5018682_1339970.jpeg"
"Французский  язык Le francais.ru В1. В 2 кн.+ CD","Александрова Е.Б., Лосева Н.В., Читахова Л.Л.","Книга предназначена как для овладения речеведческими знаниями по организации речевой и текстовой сторон письменного научного произведения, так и для приобретения навыков и умений, необходимых в практической письменной речевой деятельности.","15 300 тг","0","Nestor","2014 г.","9785903262823","268","Мягкий","200 мм x 145 мм","320 г.","http://www.bookcity.kz/content/images/thumbs/5097331_1435335.jpeg"
"Французский  язык Le francais.ru В1. В 2 книгах + CD","Александрова Е.Б., Лосева Н.В., Читахова Л.Л.","Учебно-методический комплект Le frangais.ru Bi является продолжением учебников Le francais.ru Ai и А2 и представляет собой первый опыт применения компетентного подхода к преподаванию французского языка в высшей школе. Учебник адресован студентам, изучающим французский язык в качестве первого или второго иностранного языка и владеющим лингвистическими, прагматическими и стратегическими компетенциями на уровне А2 Единых европейских стандартов. Цель учебника — развитие коммуникационных компетенций, предусмотренных уровнем B1 (что примерно соответствует программе 2-го курса российских языковых вузов), на основе прочных систематических знаний лексического и грамматического материала. Учебник состоит из 4 частей (unites), объединенных общей крупной лексико-семантической темой. Каждая часть включает три урока. Урок рассчитан на 14-22 аудиторных часа, в зависимости от того, используется ли УМК при работе по программе первого языка или второго. Дополнением к учебнику...","14 100 тг","1","Nestor","2014 г.","9785903262816","440","Мягкий","290 мм x 220 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5097147_1427716.jpeg"
"Французский без акцента.Начальный курс. ИЗД.2","Хайдаров Я.Р.","Учебное пособие предназначено для студентов языковых факультетов.  Пособие состоит из 11 уроков, включающих в себя описание артикуляции звуков, варианты их буквенного обозначения, тексты и диалоги с грамматическими комментариями, а также упражнения для тренировки произносительных и речевых навыков. Оно может быть использовано также в качестве вводного курса на специальных факультетах, в старших классах лицеев и гимназий.","3 500 тг","3","Каро","2018 г.","9785992513561","Мягкий","15 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5123605_1456311.jpeg"
"Французский без репетитора. Самоучитель французского языка","Калинкина Т.Н.","Французский без репетитора. Самоучитель французского языка. Калинкина Т.Н. Книга будет незаменимым помощником для школьников, студентов, преподавателей иностранных языков и всех, кто интересуется французским языком.","2 200 тг","5","Дом Славянской книги г.Москва","2018 г.","9785915031981","320","Мягкий","200 мм x 130 мм","200 г.","http://www.bookcity.kz/content/images/thumbs/5048649_1370566.jpeg"
"Французский глагол. Словарь-справочник","Вишнякова Н.Ю., Зусман С.А., Герасимова А.А.","Во французском языке, как в любом другом ямке, существуют группы глаголов со стандартной системой спряжения, и группы глаголов, чье спряжение не подчиняется стандартным правилам. В данном справочном пособии представлены основные сведения о природе французских глаголов, о правилах их спряжения, употребления на уровне литературного и разговорного французского. Также описаны основные глагольные времена, которые широко употребляются в современном языке, и представлена система согласования времен.","600 тг","4","Филоматис","2006 г.","9785981110726","160","Мягкий","165 мм x 107 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5047808_1369593.jpeg"
"Французский детектив. Арсен Люпен, джентльмен взломщик","Франк И.","В книге предлагается сборник популярных детективных новелл Мориса Леблана о ""благородном разбойнике"" Арсене Люиене, адаптированных (без упрощения текста оригинала) по методу Ильи Франка. Уникальность метода заключается в том, что запоминание слов и выражений происходит за счет их повторяемости, без заучивания и необходимости использовать словарь. Пособие способствует - эффективному освоению языка, может служить дополнением к учебной программе. Предназначено для широкого круга лиц. изучающих французский язык и интересующихся французской культурой.","3 300 тг","4","Восточная книга","2017 г.","9785787309393","384","Мягкий","200 мм x 130 мм","240 г.","http://www.bookcity.kz/content/images/thumbs/5133692_1430992.jpeg"
"Французский детектив. М. Леблан. Признания Арсена Люпена = Maurice Leblanc","Франк И.","Благородного грабителя Арсена Люпена и главного инспектора Ганимара связывает множество совместных воспоминаний - возможно, гораздо больше, чем хотелось бы инспектору. Особенно если этим двум выдающимся умам, невзирая на их непримиримое соперничество, приходится действовать, казалось бы, на одной стороне... .Две новеллы из цикла ""Признания Арсена Люпена"" адаптированы в настоящем издании по методу Ильи Франка: снабжены дословным переводом на русский язык и необходимым лексико-грамматическим комментарием (без упрощения текста оригинала). Уникальность метода заключается в том, что запоминание слов и выражений происходит за счет их повторяемости, 6eз заучивания и необходимости использовать словарь. .Издание способствует эффективному освоению языка, может служить дополнением к учебной программе. .Для широкого круга лиц, изучающих французский язык и интересующихся французской культурой.","2 600 тг","4","Восточная книга","2018 г.","9785787313215","Мягкий","11 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5124352_1457003.jpeg"
"Французский для бизнеса. Переговоры по телефону","Нагорнов В.А.","Книга ""Французский для бизнеса. Переговоры по телефону"" представляет собой практическое языковое пособие. Она предназначена для тех, кто имеет повседневные деловые контакты с партнерами: предпринимателей, референтов, переводчиков. В ходе ежедневных телефонных переговоров им необходимы навыки делового общения и знание французской деловой лексики.  В книге обыгрываются типичные повседневные ситуации: как представиться и начать телефонный разговор, договориться о встрече, ее времени и месте, что-то предложить или о чем-то справиться. Специально построенные разговорные модели подскажут, как ориентироваться в тех случаях, когда в ходе разговора возникают затруднения.  В книге содержатся комментарии страноведческого характера, раскрывающие особенности французской традиции общения, отражающейся и в повседневном деловом общении по телефону.  Заключающий книгу словарь составлен с использованием актуальной бизнес-терминологии.","8 000 тг","1","Живой язык","2012 г.","9785803308072","224","Твердый","215 мм x 145 мм","440 г.","http://www.bookcity.kz/content/images/thumbs/5013332_1335356.jpeg"
"Французский за 30 дней","Горина В.А.","Неизвестно","2 000 тг","4","АСТ","2019 г.","9785171131654","Твердый","15 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5129245_1461705.jpeg"
"Французский разговорник. Самый удобный в поездке","Неизвестно","Этот небольшой французский разговорник в виде буклета станет для вас незаменимым помощником в поездке за границу. В нем вы найдете самые необходимые слова и выражения по наиболее важным темам. Французский текст снабжен русскоязычной транскрипцией, что позволит вам легко произносить слова. Это красивый, удобный в пользовании разговорник-буклет, который легко помещается в сумке или внутреннем кармане одежды.","500 тг","0","АСТ","2012 г.","9785271446726","2","Мягкий","210 мм x 95 мм","45 г.","http://www.bookcity.kz/content/images/thumbs/5029022_1350551.jpeg"
"Французский с Александром Дюма. Дети Мадонны = Alexandre Dumas. Les Enfants de la Madone (Метод обучающего чтения Ильи Франка)","Фирсова Л. сост.","Неразлучным с детства Керубино и Челестини, возможно, пришлось бы всю жизнь пасти стада на горных склонах Калабрии, если бы не случайная встреча, навсегда изменившая их судьбу...Новелла Александра Дюма-отца, повествующая о драматичной истории двух друзей, адаптирована в настоящем издании по методу Ильи Франка: снабжена дословным переводом на русский язык и необходимым лексико-грамматическим комментарием (без упрощения текста оригинала). Уникальность метода заключается в том, что запоминание слов и выражений происходит за счет их повторяемости, без заучивания и необходимости использовать словарь.Издание способствует эффективному освоению языка, может служить дополнением к учебной программе.Для широкого круга лиц, изучающих французский язык и интересующихся французской культурой.Подготовила Людмила Фирсова.","2 400 тг","3","Восточная книга","2017 г.","9785787311532","224","Мягкий","200 мм x 130 мм","135 г.","http://www.bookcity.kz/content/images/thumbs/5110524_1441850.jpeg"
"Французский с Альфонсом Доде. Арлезианка","Панферова И.","В предлагаемый сборник вошли лучшие из «провансальских» рассказов Альфонса Доде: «Бокерский дилижанс», «Арлезианка», «Две гостиницы» и другие. Будучи уроженцем юга Франции, писатель во многих своих произведениях обращался к описанию здешней жизни во всем ее многообразии, неразрывном сплетении трагических и смешных сюжетов, разворачивающихся на фоне изумительной природы.Текст рассказов адаптирован (без упрощения текста оригинала) по методу Ильи Франка: снабжен дословным переводом на русский язык и необходимым лексико-грамматическим комментарием. Уникальность метода заключается в том, что запоминание слов и выражений происходит за счет их повторяемости, без заучивания и необходимости использовать словарь.Пособие способствует эффективному освоению языка, может служить дополнением к учебной программе. Предназначено для широкого круга лиц, изучающих французский язык и интересующихся французской культурой.","3 000 тг","1","Восточная книга","2018 г.","9785787312928","176","Мягкий","200 мм x 130 мм","170 г.","http://www.bookcity.kz/content/images/thumbs/5121109_1453904.jpeg"
"Французский с Альфонсом Доде. Рассказы по понедельникам = Alphonse Daudet. Les Contes du Lundi","Неизвестно","""Рассказы по понедельникам"" Альфонса Доде вобрали в себя впечатления очевидца событий франко-прусской войны 1870-1871 гг., закончившейся осадой и капитуляцией Парижа, а также зарисовки из столичной и провинциальной жизни.Текст рассказов адаптирован по методу Ильи Франка: снабжен дословным переводом на русский язык и необходимым лексико-грамматическим комментарием (без упрощения текста оригинала). Уникальность метода заключается в том, что запоминание слов и выражений происходит за счет их повторяемости, без заучивания и необходимости использовать словарь.Издание способствует эффективному освоению языка, может служить дополнением к учебной программе.Для широкого круга лиц, изучающих французский язык и интересующихся французской культурой.Пособие подготовила Татьяна Анисимова, при участии Ирины Панферовой.","2 600 тг","2","Восточная книга","2017 г.","9785787311587","224","Мягкий","200 мм x 130 мм","140 г.","http://www.bookcity.kz/content/images/thumbs/5124443_1457091.jpeg"
"Французский с Ги де Мопассаном. Избранные новеллы","Франк И.","В сборник вошли такие известные новеллы классика французской литературы Ги де Мопассана, как ""Ожерелье"", ""Мадемуазель Перль"", ""В порту"" и другие. Текст новелл адаптирован (без упрощения текста оригинала) по методу Ильи Франка. Уникальность метода заключается в том, что запоминание слов и выражений происходит за счет их повторяемости, без заучивания и необходимости использовать словарь. Пособие способствует эффективному освоению языка, может служить дополнением к учебной программе. Предназначено для широкого круга лиц, изучающих французский язык и интересующихся французской культурой.","2 900 тг","4","Восточная книга","2017 г.","9785787310306","272","Мягкий","200 мм x 130 мм","170 г.","http://www.bookcity.kz/content/images/thumbs/5114674_1439533.jpeg"
"Французский с Маленьким Принцем = Antoine de Saint-Exupery. Le petit prince","Франк И.","В книге предлагается сказочная повесть Антуана де Сент-Экзюпери ""Маленький Принц"", адаптированная (без упрощения текста оригинала) по методу Ильи Франка. Уникальность метода заключается в том, что запоминание слов и выражений происходит за счет их повторяемости, без заучивания и необходимости использовать словарь.Пособие способствует эффективному освоению языка, может служить дополнением к учебной программе. Предназначено для широкого круга лиц, изучающих французский язык и интересующихся французской культурой.","2 600 тг","5","Восточная книга","2019 г.","9785787312959","224","Мягкий","19 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5119182_1452035.jpeg"
"Французский с Мольером. Мещанин во дворянстве","Неизвестно","Блистательная комедия Мольера - о глупом и чванливом буржуа, мечтавшем стать аристократом, а в результате превратившемся в ""дойную корову"" для разного рода проходимцев и угрозу для счастья собственной дочери, - адаптирована в настоящем издании по методу Ильи Франка. Уникальность метода заключается в том, что запоминание слов и выражений происходит за счет их повторяемости, без заучивания и необходимости использовать словарь.Пособие способствует эффективному освоению языка, может служить дополнением к учебной программе. Предназначено для широкого круга лиц, изучающих французский язык и интересующихся французской культурой.","3 300 тг","2","Восточная книга","2018 г.","9785787312362","304","Мягкий","20 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5124427_1457078.jpeg"
"Французский с Проспером Мериме. Избранные новеллы = Prosper Merimee. Nouvells","Неизвестно","В сборник произведений Проспера Мериме вошли новеллы ""Матео Фальконе"", ""Таманго"" и ""Федериго"", принадлежащие к лучшим образцам творчества писателя.Произведения адаптированы (без упрощения текста оригинала) по методу Ильи Франка: снабжены дословным переводом на русский язык и необходимым лексико-грамматическим комментарием. Уникальность метода заключается в том, что запоминание слов и выражений происходит за счет их повторяемости, без заучивания и необходимости использовать словарь. Издание способствует эффективному освоению языка, может служить дополнением к учебной программе.Для широкого круга лиц, изучающих французский язык и интересующихся французской культурой.","2 400 тг","2","Восточная книга","2017 г.","9785787311921","224","Мягкий","20 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5124442_1457090.jpeg"
"Французский с Проспером Мериме. Кармен = Carmen","Дегиль И.","В книге представлено одно из самых популярных произведений французской литературы XIX века, новелла ""Кармен"" Проспера Мериме (1803-1870) - история любви простого испанского солдата и цыганки, рассказ о роковой страсти, предательстве и мести. Текст произведения адаптирован (без упрощения текста оригинала) по методу Ильи Франка.","3 300 тг","4","Восточная книга","2018 г.","9785787312768","Мягкий","11 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5120721_1453384.jpeg"
"Французский шутя. 200 анекдотов для начального чтения","Неизвестно","Книга представляет собой сборник современных французских анекдотов, адаптированных (без упрощения текста оригинала) по методу Ильи Франка. В тексте содержится множество расхожих фраз и разговорных оборотов современного французского языка. Уникальность метода заключается в том, что запоминание слов и выражений происходит за счет их повторяемости, без заучивания и необходимости использовать словарь.Пособие способствует эффективному освоению языка, может служить дополнением к учебной программе. Предназначено для широкого круга изучающих французский язык на начальном этапе.","2 700 тг","2","Восточная книга","2018 г.","9785787312676","224","Мягкий","10 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5124381_1457032.jpeg"
"Французский яз. Переписка","Позднякова К.А.","Писать письма сложно. Гораздо сложнее, чем говорить. Зачастую человек, не испытывающий проблем при ведении беседы, теряется перед листом бумаги. Письменное изложение мыслей - это почти игра вслепую, когда контролировать собеседника так же, как при личном контакте, невозможно. А уж писать на иностранном языке сложнее вдвойне: незнание требований и норм ведения переписки в той стране, где находится адресат, может привести к осложнениям в отношениях.  Книги этой серии призваны помочь в обретении навыков переписки на иностранных языках широкому кругу читателей.  В этой книге подобраны современные модели корреспонденции на любой случай - образцы поздравительных и деловых писем, факсов, электронной почты, дружеской переписки на французском языке их можно использовать напрямую или адаптировать для своих целей. В результате экономятся время и усилия, которые можно направить на другие полезные дела.","8 000 тг","0","Живой язык","2012 г.","9785803307730","224","Твердый","215 мм x 145 мм","440 г.","http://www.bookcity.kz/content/images/thumbs/5127163_1459648.jpeg"
"Французский язык","Неизвестно","Цель данной книги – помочь читателю в правильном выборе учебных материалов и организации самостоятельных занятий иностранным языком. Издание содержит рекомендации по использованию как традиционных, так и новейших, мультимедийных технологий. Большое внимание в книге уделено развитию словарного запаса – как правильно учить, повторять и систематизировать иностранные слова. Некоторые из обучающих возможностей, рассмотренных в книге: ПЕЧАТНЫЕ МАТЕРИАЛЫ: книги в оригинале, книги адаптированные, печатные словари, тематические словари, визуальные словари, карточки для запоминания слов, учебники и пособия, электронные книги, газеты и журналы, распечатки из интернета, разговорники, туристические путеводители, карты и атласы, печатные сувениры ТЕЛЕВИДЕНИЕ, DVD: иностранное телевидение, DVD фильмы | РАДИО, АУДИОМАТЕРИАЛЫ: иностранные радиостанции, аудиокниги, аудиосистема в автомобиле, аудиословари и мное другое.","3 400 тг","0","Ти энд Пи Букс","2015 г.","9781780713700","10 мм","Неизвестно","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5030822_1352478.jpeg"
"Французский язык без репетитора. Самоучитель французского языка","Долгорукова Н.М., Бакаева С.А.","Настоящее пособие разбито на 18 уроков, содержащих базовые грамматические сведения, небольшие тексты и диалоги, а также упражнения на закрепление материала. Авторы самоучителя, имеющие преподавательский опыт, не ставят перед собой цель охватить все сложности французского языка. Они предлагают читателю необходимый грамматический и лексический минимум, позволяющий сделать первые шаги к уверенному владению французским языком. В книге помещены и несколько текстов из французской классической литературы: сказки Шарля Перро, отдельные главы из ""Тристана и Изольды"" и ""Собора Парижской Богоматери"", стихи выдающихся французских поэтов. Все это, вместе с краткой страноведческой информацией, делает процесс обучения более разнообразным и увлекательным. В конце книги помещено Приложение, в которое вошли дополнительный лексический и грамматический материал, Словари (в том числе и к помещенным в самоучителе литературным произведениям) и Ключи к упражнениям. Издание предназначено для широкого круга читателей, приступающих к изучению французского языка.","1 500 тг","0","АСТ","2019 г.","9785171157937","Мягкий","Неизвестно","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5133122_1465240.jpeg"
"Французский язык для бакалавров: Учебное пособие","Ким Л.С., Рябова М.В.","Целью учебного пособия по французскому языку является подготовка бакалавров (направление «Экономика») по дисциплине «Французский язык» в соответствии с требованиями Федерального государственного образовательного стандарта. Учебное пособие по французскому языку построено на модульном принципе обучения и рекомендуется для студентов первого курса экономических специальностей, изучающих французский язык в качестве первого иностранного языка, а также для студентов, начинающих изучать французский язык как второй иностранный язык.","7 800 тг","0","Феникс","2017 г.","9785222263938","Твердый","10 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5126892_1459382.jpeg"
"Французский язык для начинающих. Сам себе репетитор + LECTA","Путилина Н.В.","Предлагаемый самоучитель рассчитан на самую широкую читательскую аудиторию и прежде всего на тех, кто хотел бы в кратчайшие сроки получить базовые знания французской грамматики и овладеть навыками устной и письменной речи.Пособие состоит из 17 разделов, включающих Вводный урок, 15 Уроков-Досье, содержащих материалы на самые нужные в повседневном общении темы, и Заключительный урок. В конце книги помещен итоговый тест для проверки знаний, а также ключи к упражнениям. Многие упражнения и диалоги озвучены и доступны для прослушивания.Книга с бесплатным электронным аудиоприложением LECTA.","5 000 тг","5","АСТ","2018 г.","9785171075514","512","Твердый","290 мм x 205 мм","725 г.","http://www.bookcity.kz/content/images/thumbs/5116926_1449851.jpeg"
"Французский язык для студентов гуманитарных ВУЗов","Глухова Ю.Н.","Цель пособия - обучение устной и письменной речи на французском языке с использованием аутентичного материала. Оно состоит из пяти микроциклов, включающих основные темы 1-го года обучения: ""Знакомство"", ""Семья"", ""Увлечения"", ""Работа и отдых"", а также грамматические комментарии, разговорные клише, тренировочные и речевые упражнения, страноведческую информацию.  Содержащиеся в пособии тексты и диалоги, заимствованные из оригинальных общеизвестных учебных курсов, могут быть применены для обучения аудированию и являются подготовительным этапом для перехода к чтению аутентичных текстов большего объема.  Для студентов неязыковых ВУЗов, может быть использовано на курсах иностранных языков, а также лицами, самостоятельно изучающими французский язык.","5 100 тг","0","Высшая школа","2005 г.","9785060050318","368","Твердый","20 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5002249_1324480.jpeg"
